model_year,make_,model.1_,vehicleclass_,motor_(kw),enginesize_(l),cylinders_,transmission_,fuel_type1,consumption_combinedle/100km,range1_(km),recharge_time(h),fuel.1_type2,consumption.1_city(l/100km),fuelconsumption_hwy(l/100km),fuelconsumption_comb(l/100km),range2_(km),co2emissions_(g/km),co2_rating,smog_rating,transmission_type,number_of_gears
2012,chevrolet,volt,compact,111,1.4,4.0,AV,B,2.5 (22.3 kWh/100 km),56,4,Z,6.7,5.9,6.4,550,54,,,continuously variable,
2013,chevrolet,volt,compact,111,1.4,4.0,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,550,45,,,continuously variable,
2013,ford,c-max energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,,,continuously variable,
2013,ford,fusion energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,,,continuously variable,
2013,toyota,prius plug-in hybrid,mid-size,60,1.8,4.0,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1.5,X,4.7,4.8,4.7,845,101,,,continuously variable,
2014,cadillac,elr,compact,117,1.4,4.0,AV,B,2.9 (25.3 kWh/100 km),59,5,Z,7.6,6.7,7.2,493,50,,,continuously variable,
2014,chevrolet,volt,compact,111,1.4,4.0,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,550,45,,,continuously variable,
2014,ford,c-max energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,,,continuously variable,
2014,ford,fusion energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,,,continuously variable,
2014,porsche,panamera s e-hybrid,full-size,71,3.0,6.0,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,,,automatic,8
2014,toyota,prius plug-in hybrid,mid-size,60,1.8,4.0,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1.5,X,4.7,4.8,4.7,845,101,,,continuously variable,
2015,bmw,i3 rex,subcompact,125,0.6,2.0,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5.7,6.3,6.0,119,22,,,automatic,1
2015,bmw,i8,subcompact,96,1.5,3.0,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8.4,8.1,8.3,509,123,,,automatic,6
2015,chevrolet,volt,compact,111,1.4,4.0,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,547,50,,,continuously variable,
2015,ford,c-max energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,,,continuously variable,
2015,ford,fusion energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,,,continuously variable,
2015,porsche,918 spyder,two-seater,157,4.6,8.0,A7,B,3.4 (30.7 kWh/100 km),21,3,Z,11.5,10.0,10.9,649,172,,,automatic,7
2015,porsche,cayenne s e-hybrid,suv - standard,71,3.0,6.0,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11.3,9.8,10.6,758,162,,,automatic,8
2015,porsche,panamera s e-hybrid,full-size,71,3.0,6.0,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,,,automatic,8
2015,toyota,prius plug-in hybrid,mid-size,60,1.8,4.0,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1.5,X,4.7,4.8,4.7,845,101,,,continuously variable,
2016,audi,a3 e-tron,compact,80,1.4,4.0,A6,B/Z*,2.8 ([25.2 kWh + 0.0 L]/100 km),26,2.5,Z,7.1,6.4,6.8,591,98,10,,automatic,6
2016,audi,a3 e-tron ultra,compact,80,1.4,4.0,A6,B/Z*,2.7 ([23.9 kWh + 0.0 L]/100 km),27,2.5,Z,6.4,5.7,6.1,663,85,10,,automatic,6
2016,bmw,330e,compact,65,2.0,4.0,AS8,B/Z*,3.3 ([29.1 kWh + 0.0 L]/100 km),23,2,Z,8.4,6.3,7.4,562,113,10,,automatic with select Shift,8
2016,bmw,i3 rex,subcompact,125,0.6,2.0,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5.7,6.3,6.0,119,22,10,,automatic,1
2016,bmw,i8,subcompact,96,1.5,3.0,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8.4,8.1,8.3,509,123,9,,automatic,6
2016,bmw,x5 xdrive40e,suv - standard,83,2.0,4.0,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10.2,9.5,9.9,842,153,8,,automatic with select Shift,8
2016,cadillac,elr,subcompact,174,1.4,4.0,AV,B,2.7 (24.4 kWh/100 km),64,5,Z,7.6,7.1,7.4,480,57,10,,continuously variable,
2016,cadillac,elr (performance pkg),subcompact,174,1.4,4.0,AV,B,2.9 (26.2 kWh/100 km),58,5,Z,8.4,7.1,7.8,457,65,10,,continuously variable,
2016,chevrolet,volt,compact,111,1.5,4.0,AV,B,2.2 (19.9 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,,continuously variable,
2016,ford,c-max energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,10,,continuously variable,
2016,ford,fusion energi,mid-size,35,2.0,4.0,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,10,,continuously variable,
2016,hyundai,sonata plug-in hybrid,mid-size,50,2.0,4.0,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2.7,X,6.1,5.7,5.9,925,63,10,,automated manual,6
2016,mercedes-benz,s 550e,full-size,85,3.0,6.0,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2.75,Z,10.0,7.8,9.0,695,141,9,,automatic with select Shift,7
2016,porsche,cayenne s e-hybrid,suv - standard,71,3.0,6.0,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11.3,9.8,10.6,758,162,8,,automatic,8
2016,porsche,panamera s e-hybrid,full-size,71,3.0,6.0,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,9,,automatic,8
2016,volvo,xc90 t8 awd,suv - standard,65,2.0,4.0,AS8,B/Z*,4.6 ([40.4 kWh + 0.0 L]/100 km),21,3,Z,10.1,8.8,9.5,529,150,8,,automatic with select Shift,8
2017,audi,a3 e-tron,compact,80,1.4,4.0,A6,B/Z*,2.8 ([25.5 kWh + 0.0 L]/100 km),26,2.5,Z,7.2,6.6,6.9,579,98,10,8,automatic,6
2017,bmw,330e,compact,65,2.0,4.0,AS8,B/Z*,3.3 ([29.5 kWh + 0.0 L]/100 km),23,2,Z,8.5,6.9,7.8,533,118,10,6,automatic with select Shift,8
2017,bmw,740e xdrive,full-size,83,2.0,4.0,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9.5,8.0,8.8,525,133,9,6,automatic with select Shift,8
2017,bmw,i3 rex (94 ah),subcompact,125,0.6,2.0,A1,B,2.1 (18.9 kWh/100 km),156,5,Z,6.5,7.0,6.7,129,18,10,8,automatic,1
2017,bmw,i8,subcompact,96,1.5,3.0,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8.4,8.1,8.3,509,123,10,6,automatic,6
2017,bmw,x5 xdrive40e,suv - standard,83,2.0,4.0,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10.2,9.5,9.9,840,154,8,6,automatic with select Shift,8
2017,cadillac,ct6 plug-in hybrid,mid-size,178,2.0,4.0,AV,B/Z*,3.8 ([33.7 kWh + 0.0 L]/100 km),50,4.5,Z,10.1,8.1,9.2,658,89,10,6,continuously variable,
2017,chevrolet,volt,compact,111,1.5,4.0,AV,B,2.2 (19.9 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,6,continuously variable,
2017,chrysler,pacifica hybrid,minivan,89,3.6,6.0,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7.3,7.2,7.3,858,66,10,8,continuously variable,
2017,ford,c-max energi,mid-size,35,2.0,4.0,AV,B/X*,2.5 ([22.0 kWh + 0.0 L]/100 km),33,2.5,X,5.8,6.2,6.0,884,76,10,8,continuously variable,
2017,ford,fusion energi,mid-size,35,2.0,4.0,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2.5,X,5.5,5.7,5.6,947,70,10,8,continuously variable,
2017,hyundai,sonata plug-in hybrid,mid-size,50,2.0,4.0,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2.7,X,6.2,5.9,6.1,901,65,10,8,automated manual,6
2017,karma,revero,subcompact,300,2.0,4.0,A1,B,4.6 (41.0 kWh/100 km),51,3.75,Z,13.0,12.0,12.5,303,114,10,5,automatic,1
2017,kia,optima plug-in hybrid,mid-size,50,2.0,4.0,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,935,60,10,8,automated manual,6
2017,mercedes-benz,gle 550e 4matic,suv - standard,85,3.0,6.0,AS7,B/Z,5.5 ([42.7 kWh + 0.8 L]/100 km),19,1.9,Z,11.8,10.3,11.1,719,184,7,6,automatic with select Shift,7
2017,mercedes-benz,s 550e,full-size,85,3.0,6.0,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2.75,Z,10.0,7.9,9.1,702,142,9,6,automatic with select Shift,7
