number_units_sold,make,model_,date
86,Acura,ILX,2019-01-01
56,Acura,ILX,2019-02-01
218,Acura,ILX,2019-03-01
286,Acura,ILX,2019-04-01
209,Acura,ILX,2019-05-01
177,Acura,ILX,2019-06-01
167,Acura,ILX,2019-07-01
138,Acura,ILX,2019-08-01
195,Acura,ILX,2019-09-01
125,Acura,ILX,2019-10-01
108,Acura,ILX,2019-11-01
106,Acura,ILX,2019-12-01
167,Acura,MDX,2019-01-01
210,Acura,MDX,2019-02-01
494,Acura,MDX,2019-03-01
551,Acura,MDX,2019-04-01
377,Acura,MDX,2019-05-01
352,Acura,MDX,2019-06-01
409,Acura,MDX,2019-07-01
560,Acura,MDX,2019-08-01
599,Acura,MDX,2019-09-01
343,Acura,MDX,2019-10-01
327,Acura,MDX,2019-11-01
368,Acura,MDX,2019-12-01
0,Acura,NSX,2019-01-01
1,Acura,NSX,2019-02-01
4,Acura,NSX,2019-03-01
2,Acura,NSX,2019-04-01
6,Acura,NSX,2019-05-01
4,Acura,NSX,2019-06-01
0,Acura,NSX,2019-07-01
2,Acura,NSX,2019-08-01
0,Acura,NSX,2019-09-01
1,Acura,NSX,2019-10-01
1,Acura,NSX,2019-11-01
1,Acura,NSX,2019-12-01
473,Acura,RDX,2019-01-01
454,Acura,RDX,2019-02-01
591,Acura,RDX,2019-03-01
764,Acura,RDX,2019-04-01
980,Acura,RDX,2019-05-01
894,Acura,RDX,2019-06-01
819,Acura,RDX,2019-07-01
963,Acura,RDX,2019-08-01
973,Acura,RDX,2019-09-01
985,Acura,RDX,2019-10-01
941,Acura,RDX,2019-11-01
879,Acura,RDX,2019-12-01
5,Acura,RLX,2019-01-01
5,Acura,RLX,2019-02-01
3,Acura,RLX,2019-03-01
4,Acura,RLX,2019-04-01
6,Acura,RLX,2019-05-01
4,Acura,RLX,2019-06-01
2,Acura,RLX,2019-07-01
11,Acura,RLX,2019-08-01
5,Acura,RLX,2019-09-01
5,Acura,RLX,2019-10-01
5,Acura,RLX,2019-11-01
0,Acura,RLX,2019-12-01
176,Acura,TLX,2019-01-01
342,Acura,TLX,2019-02-01
402,Acura,TLX,2019-03-01
0,Acura,TLX,2019-04-01
282,Acura,TLX,2019-05-01
230,Acura,TLX,2019-06-01
246,Acura,TLX,2019-07-01
154,Acura,TLX,2019-08-01
280,Acura,TLX,2019-09-01
268,Acura,TLX,2019-10-01
223,Acura,TLX,2019-11-01
270,Acura,TLX,2019-12-01
2,Alfa,Romeo 4C,2019-01-01
2,Alfa,Romeo 4C,2019-02-01
5,Alfa,Romeo 4C,2019-03-01
7,Alfa,Romeo 4C,2019-04-01
10,Alfa,Romeo 4C,2019-05-01
4,Alfa,Romeo 4C,2019-06-01
5,Alfa,Romeo 4C,2019-07-01
5,Alfa,Romeo 4C,2019-08-01
1,Alfa,Romeo 4C,2019-09-01
3,Alfa,Romeo 4C,2019-10-01
3,Alfa,Romeo 4C,2019-11-01
0,Alfa,Romeo 4C,2019-12-01
12,Alfa,Romeo Giulia,2019-01-01
29,Alfa,Romeo Giulia,2019-02-01
22,Alfa,Romeo Giulia,2019-03-01
20,Alfa,Romeo Giulia,2019-04-01
35,Alfa,Romeo Giulia,2019-05-01
23,Alfa,Romeo Giulia,2019-06-01
22,Alfa,Romeo Giulia,2019-07-01
25,Alfa,Romeo Giulia,2019-08-01
10,Alfa,Romeo Giulia,2019-09-01
18,Alfa,Romeo Giulia,2019-10-01
15,Alfa,Romeo Giulia,2019-11-01
11,Alfa,Romeo Giulia,2019-12-01
25,Alfa,Romeo Stelvio,2019-01-01
17,Alfa,Romeo Stelvio,2019-02-01
40,Alfa,Romeo Stelvio,2019-03-01
46,Alfa,Romeo Stelvio,2019-04-01
38,Alfa,Romeo Stelvio,2019-05-01
38,Alfa,Romeo Stelvio,2019-06-01
32,Alfa,Romeo Stelvio,2019-07-01
36,Alfa,Romeo Stelvio,2019-08-01
72,Alfa,Romeo Stelvio,2019-09-01
31,Alfa,Romeo Stelvio,2019-10-01
26,Alfa,Romeo Stelvio,2019-11-01
57,Alfa,Romeo Stelvio,2019-12-01
203,Audi,A3,2019-01-01
147,Audi,A3,2019-02-01
254,Audi,A3,2019-03-01
334,Audi,A3,2019-04-01
413,Audi,A3,2019-05-01
442,Audi,A3,2019-06-01
