jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,make,model_,year
86,56,218,286,209,177,167,138,195,125,108,106,Acura,ILX,2019
167,210,494,551,377,352,409,560,599,343,327,368,Acura,MDX,2019
0,1,4,2,6,4,0,2,0,1,1,1,Acura,NSX,2019
473,454,591,764,980,894,819,963,973,985,941,879,Acura,RDX,2019
5,5,3,4,6,4,2,11,5,5,5,0,Acura,RLX,2019
176,342,402,0,282,230,246,154,280,268,223,270,Acura,TLX,2019
2,2,5,7,10,4,5,5,1,3,3,0,Alfa,Romeo 4C,2019
12,29,22,20,35,23,22,25,10,18,15,11,Alfa,Romeo Giulia,2019
25,17,40,46,38,38,32,36,72,31,26,57,Alfa,Romeo Stelvio,2019
203,147,254,334,413,442,116,220,499,222,175,92,Audi,A3,2019
208,226,318,419,508,382,368,388,312,381,289,118,Audi,A4,2019
255,312,381,446,492,398,281,346,433,416,294,169,Audi,A5,2019
41,47,75,109,53,42,33,41,53,79,70,44,Audi,A6,2019
51,37,72,79,67,57,34,33,48,48,48,34,Audi,A7,2019
15,7,15,14,10,19,4,3,4,18,15,13,Audi,A8,2019
0,0,0,0,0,113,98,42,71,58,75,33,Audi,eTron,2019
77,0,0,0,0,0,371,730,457,668,929,502,Audi,Q3,2019
626,603,"1,025","1,349","1,346",833,781,921,"1,070",859,"1,009",433,Audi,Q5,2019
226,200,407,363,296,182,174,191,329,360,335,150,Audi,Q7,2019
130,135,208,235,218,167,179,191,160,198,148,103,Audi,Q8,2019
6,2,3,3,2,21,17,27,7,22,14,6,Audi,R8,2019
12,24,56,31,67,54,28,33,10,13,15,5,Audi,TT,2019
78,61,137,165,190,140,95,65,84,106,45,36,BMW,2-Series,2019
189,212,363,762,643,523,501,524,738,489,615,349,BMW,3-Series,2019
147,216,191,205,468,217,153,125,214,101,134,108,BMW,4-Series,2019
86,139,165,202,243,144,110,84,149,135,113,51,BMW,5-Series,2019
9,11,7,33,34,10,3,19,12,6,6,7,BMW,6-Series,2019
15,15,38,44,36,34,40,41,59,19,12,22,BMW,7-Series,2019
15,12,17,34,34,33,15,14,29,11,25,25,BMW,8-Series,2019
13,12,13,34,24,41,18,22,48,50,30,6,BMW,i3,2019
183,591,509,525,244,307,151,310,477,456,425,242,BMW,X1,2019
63,203,145,163,172,111,57,66,128,51,124,100,BMW,X2,2019
557,410,686,739,607,734,701,994,855,820,722,579,BMW,X3,2019
59,71,95,738,105,66,96,90,124,210,137,73,BMW,X4,2019
659,358,504,691,675,504,536,506,797,454,556,390,BMW,X5,2019
15,30,31,61,78,39,18,18,70,49,113,88,BMW,X6,2019
0,0,180,231,207,191,207,128,151,117,116,92,BMW,X7,2019
0,0,6,0,43,33,21,17,24,12,9,13,BMW,Z4,2019
174,199,300,312,347,262,303,317,183,199,169,169,Buick,Enclave,2019
528,603,908,945,"1,052",794,917,959,791,825,701,701,Buick,Encore,2019
134,153,231,240,267,202,233,244,405,222,188,188,Buick,Envision,2019
33,38,57,59,66,50,57,60,19,33,28,14,Buick,LaCrosse,2019
35,41,61,64,71,53,62,64,184,112,96,24,Buick,Regal,2019
80,92,138,143,160,121,139,146,3,5,4,1,Cadillac,ATS,2019
11,13,19,20,22,17,19,20,11,13,11,25,Cadillac,CT6,2019
22,25,38,40,44,34,39,40,10,20,17,5,Cadillac,CTS,2019
137,157,237,246,273,206,238,249,225,194,165,188,Cadillac,Escalade,2019
250,312,329,298,371,437,311,452,133,201,222,201,Cadillac,XT4,2019
291,333,501,522,581,439,507,530,430,385,328,328,Cadillac,XT5,2019
0,0,0,0,0,0,0,0,68,75,94,74,Cadillac,XT6,2019
25,28,42,44,49,37,43,45,17,53,45,4,Cadillac,XTS,2019
341,851,"1,405","1,514","2,701","1,975","2,514","2,722",314,350,417,106,Chevrolet,Blazer,2019
125,143,216,225,250,189,218,228,402,305,259,322,Chevrolet,Bolt,2019
134,154,231,240,268,202,233,244,139,209,77,89,Chevrolet,Camaro,2019
463,529,796,828,922,696,804,841,891,723,615,423,Chevrolet,Colorado,2019
77,88,133,138,154,116,134,140,280,163,98,48,Chevrolet,Corvette,2019
292,353,"1,114",760,511,"1,698","1,501",801,"1,113",917,689,151,Chevrolet,Cruze,2019
"1,058","1,210","1,821","1,895","2,110","1,593","1,840","1,924","1,188","1,599","1,499",766,Chevrolet,Equinox,2019
233,267,402,418,465,351,406,424,170,346,294,326,Chevrolet,Express,2019
194,221,333,347,386,291,337,352,114,191,143,74,Chevrolet,Impala,2019
338,387,582,606,675,509,588,615,521,497,423,229,Chevrolet,Malibu,2019
"3,208","3,159","4,803","4,991","5,140",208,"4,080","3,867","5,216","4,429","3,766","2,970",Chevrolet,Silverado,2019
141,161,242,252,280,212,245,256,0,0,1,0,Chevrolet,Sonic,2019
245,280,422,439,489,369,426,446,770,637,541,419,Chevrolet,Spark,2019
138,158,238,248,276,0,240,251,114,199,169,97,Chevrolet,Suburban,2019
177,203,305,318,354,267,308,322,500,355,302,151,Chevrolet,Tahoe,2019
319,365,550,572,637,481,555,580,610,537,457,115,Chevrolet,Traverse,2019
221,253,381,397,442,333,385,403,866,617,648,352,Chevrolet,Trax,2019
214,245,369,384,427,323,373,390,60,47,22,1,Chevrolet,Volt,2019
0,0,0,0,1,0,0,0,0,0,0,0,Chrysler,200,2019
112,278,738,248,163,210,272,312,23,163,139,41,Chrysler,300,2019
277,235,304,264,537,599,345,396,265,279,237,93,Chrysler,Pacifica,2019
270,183,198,167,307,238,212,243,141,166,141,75,Dodge,Challenger,2019
48,872,"1,021",156,403,455,460,528,88,291,248,45,Dodge,Charger,2019
1,0,0,0,0,0,0,0,0,0,0,0,Dodge,Dart,2019
700,958,957,"1,754",531,677,869,996,640,687,584,267,Dodge,Durango,2019
"1,947","2,889","3,370","2,586","2,407","2,744","2,484","2,848","1,541","1,986","1,689","1,491",Dodge,Grand Caravan,2019
217,272,271,325,403,169,258,296,92,177,151,73,Dodge,Journey,2019
0,0,0,0,0,1,0,0,0,0,0,1,Dodge,Viper,2019
16,2,21,20,32,16,17,19,32,16,13,1,Fiat,124 Spider,2019
12,3,16,10,18,10,11,12,5,9,7,4,Fiat,500,2019
1,1,0,1,5,2,2,2,0,1,1,0,Fiat,500L,2019
7,3,3,3,4,3,4,4,6,3,3,7,Fiat,500X,2019
230,457,447,732,543,496,354,361,216,348,346,218,Ford,E-Series,2019
379,637,790,599,789,951,555,718,489,535,532,464,Ford,EcoSport,2019
"1,017",993,"1,849","2,290","2,560","1,970","1,679","1,918","1,594","1,438","1,431","1,226",Ford,Edge,2019
"2,308","2,125","3,561","4,215","4,830","3,957","3,455","3,163","3,203","2,793","2,778","3,116",Ford,Escape,2019
133,236,303,738,597,693,291,292,323,327,325,123,Ford,Expedition,2019
810,765,965,779,781,682,663,762,748,630,927,"1,155",Ford,Explorer,2019
"8,554","8,455","13,098","13,513","15,891","15,394","13,862","14,600","13,675","10,972","11,068","6,128",Ford,F-Series,2019
59,28,243,288,227,357,21,17,9,13,8,3,Ford,Fiesta,2019
114,298,511,332,557,343,143,82,38,19,10,45,Ford,Flex,2019
273,239,291,284,223,103,51,36,14,17,7,7,Ford,Focus,2019
279,"1,087","1,047",822,888,944,473,699,"1,041",880,456,137,Ford,Fusion,2019
0,0,0,0,0,3,0,0,2,0,0,2,Ford,GT,2019
221,204,580,"1,088","1,429","1,277",640,499,399,574,571,146,Ford,Mustang,2019
201,173,381,522,589,524,750,756,854,430,428,995,Ford,Ranger,2019
56,444,"1,120",147,101,37,12,6,10,10,4,4,Ford,Taurus,2019
931,"1,217","1,704","1,344","1,595","1,525","1,433","1,665","1,668","1,186","1,179",682,Ford,Transit,2019
90,379,300,349,340,325,288,321,280,242,241,163,Ford,Transit Connect,2019
37,93,93,115,121,121,107,86,98,96,75,77,Genesis,G70,2019
12,21,22,33,37,45,28,30,27,26,19,24,Genesis,G80,2019
2,1,0,3,2,0,7,27,12,11,11,6,Genesis,G90,2019
256,292,440,458,510,385,445,465,338,340,289,139,GMC,Acadia,2019
333,381,574,597,665,502,579,606,312,415,353,219,GMC,Canyon,2019
318,363,547,569,633,478,552,277,733,468,398,296,GMC,Savana,2019
"2,790","3,190","4,185","4,748","4,993","3,089","3,552","4,957","5,265","4,465","3,601","4,011",GMC,Sierra,2019
677,774,"1,165","1,213","1,350","1,019","1,177","1,231",867,"1,084",922,544,GMC,Terrain,2019
164,188,282,294,327,247,285,298,218,230,196,196,GMC,Yukon,2019
124,141,213,222,247,186,215,225,142,196,167,156,GMC,Yukon XL,2019
580,605,"1,121","1,006","1,443","1,082",984,"1,134","1,134","1,025",774,493,Honda,Accord,2019
"3,661","3,724","6,751","5,234","6,963","6,065","5,841","6,067","5,295","5,193","3,312","2,033",Honda,Civic,2019
15,162,60,64,221,191,134,32,11,12,9,0,Honda,Clarity FCV,2019
"2,878","4,139","6,004","4,497","5,809","4,254","5,388","5,578","4,917","5,710","4,044","2,641",Honda,CR-V,2019
419,261,435,421,504,273,295,206,252,169,155,47,Honda,Fit,2019
970,725,982,"1,048","1,352","1,286","1,200","1,261","1,206","1,225","1,077",653,Honda,HR-V,2019
20,39,41,30,66,56,107,102,86,95,69,42,Honda,Insight,2019
568,524,811,"1,013","1,039",885,915,924,719,770,635,454,Honda,Odyssey,2019
0,4,265,295,357,282,240,307,257,251,254,166,Honda,Passport,2019
528,492,"1,086",663,708,594,653,620,542,721,920,714,Honda,Pilot,2019
247,201,284,320,365,310,291,311,252,244,356,224,Honda,Ridgeline,2019
315,334,506,743,738,695,701,435,362,508,365,287,Hyundai,Accent,2019
"1,899","1,871","2,808","4,228","3,948","3,913","3,864","4,034","3,565","3,540","3,643","2,150",Hyundai,Elantra,2019
166,141,280,593,829,384,361,385,294,171,42,21,Hyundai,Ioniq,2019
"1,211","1,854","2,717","2,348","2,743","2,255","2,084","2,320","2,127","2,132","2,253","1,773",Hyundai,Kona,2019
0,3,0,3,0,0,0,2,0,0,0,1,Hyundai,Nexo,2019
0,0,0,0,0,180,826,725,638,608,493,375,Hyundai,Palisade,2019
"1,162","1,219","1,715","1,975","2,154","2,096","1,741","1,557","1,528","1,620","1,243",919,Hyundai,Santa Fe,2019
172,285,349,611,369,481,641,202,236,129,124,81,Hyundai,Sonata,2019
"1,366","1,512","2,057","2,411","3,169","3,193","2,722","3,518","3,082","2,864","2,342","1,839",Hyundai,Tuscon,2019
75,84,162,248,206,144,106,87,86,97,69,56,Hyundai,Veloster,2019
0,0,0,0,0,0,0,0,0,0,8,305,Hyundai,Venue,2019
108,140,269,185,203,222,101,165,166,94,115,103,Infiniti,Q50,2019
24,48,62,45,54,48,28,34,50,33,60,36,Infiniti,Q60,2019
2,4,12,4,6,4,3,3,6,3,4,5,Infiniti,Q70,2019
9,13,64,0,1,3,2,1,0,0,0,0,Infiniti,QX30,2019
189,185,319,296,305,284,276,307,356,348,374,276,Infiniti,QX50,2019
290,374,495,289,250,387,374,429,495,208,222,169,Infiniti,QX60,2019
51,78,154,95,81,73,61,73,78,65,51,75,Infiniti,QX80,2019
38,3,50,88,52,20,27,27,43,24,28,17,Jaguar,E-Pace,2019
115,286,374,212,162,167,139,180,169,193,138,176,Jaguar,F-Pace,2019
7,16,65,11,27,33,22,14,40,9,18,6,Jaguar,F-Type,2019
16,26,49,44,34,40,48,22,16,27,20,38,Jaguar,I-Pace,2019
11,8,24,5,9,19,16,23,21,9,6,6,Jaguar,XE,2019
2,3,26,2,4,5,7,8,25,3,2,19,Jaguar,XF,2019
1,5,23,10,4,11,16,4,9,6,4,4,Jaguar,XJ,2019
"1,003","1,152","1,345","1,266","1,325","1,200","1,136","1,302","1,583","1,100",936,339,Jeep,Cherokee,2019
816,716,882,695,784,611,702,805,423,575,489,154,Jeep,Compass,2019
0,2,0,7,166,278,71,981,375,402,496,272,Jeep,Gladiator,2019
"1,155","1,689","1,933","1,776","1,480","1,629","1,505","1,726","1,674","1,374","1,568","1,150",Jeep,Grand Cherokee,2019
51,52,70,43,82,40,53,60,106,50,42,15,Jeep,Renegade,2019
"1,639","2,224","2,568","2,510","2,112","2,497","2,108","1,523","1,973","1,531",750,"1,750",Jeep,Wrangler,2019
1,6,3,2,4,3,0,0,1,0,0,1,Kia,Cadenza,2019
847,885,"1,625","1,565","1,330","1,599","1,511","1,726","1,220","1,307","1,137",797,Kia,Forte,2019
0,0,0,0,0,0,0,0,0,0,0,0,Kia,K900,2019
151,170,229,327,549,458,432,568,415,453,323,263,Kia,Niro,2019
62,70,210,178,155,197,193,151,147,100,100,108,Kia,Optima,2019
354,257,464,424,544,511,456,388,322,431,293,472,Kia,Rio,2019
223,320,422,450,771,624,435,469,327,289,377,285,Kia,Sedona,2019
812,"1,355","1,524","1,784","1,490","1,727","1,714","1,406","1,185","1,110","1,059",888,Kia,Sorento,2019
456,500,"1,180","1,160","1,361","1,280","1,438","1,120",989,884,846,654,Kia,Soul,2019
580,606,"1,187",957,"1,012","1,103","1,375","1,336","1,095","1,239","1,333",814,Kia,Sportage,2019
62,59,129,153,174,173,151,175,170,140,101,82,Kia,Stinger,2019
0,0,111,438,523,375,300,294,345,297,187,127,Kia,Telluride,2019
21,41,144,43,63,63,60,48,48,62,37,63,Land,Rover Discovery / LR4,2019
54,70,140,148,45,78,76,60,133,97,92,83,Land,Rover Discovery Sport,2019
111,101,259,198,141,119,79,126,158,159,108,173,Land,Rover Range Rover,2019
53,55,179,61,198,199,117,179,120,172,226,229,Land,Rover Range Rover Evoque,2019
207,213,411,202,256,256,225,274,336,301,268,250,Land,Rover Range Rover Sport,2019
116,129,236,161,162,187,103,171,137,161,121,115,Land,Rover Range Rover Velar,2019
120,103,185,240,223,210,196,168,215,179,192,123,Lexus,ES,2019
5,9,34,5,6,7,6,10,14,6,7,5,Lexus,GS,2019
9,26,31,26,23,23,17,30,23,70,65,34,Lexus,GX,2019
71,89,145,225,225,287,268,241,282,220,123,82,Lexus,IS,2019
3,5,7,15,9,9,7,5,6,3,4,1,Lexus,LC,2019
12,6,5,8,8,5,7,4,7,2,4,1,Lexus,LS,2019
111,89,114,101,127,62,29,70,58,96,110,86,Lexus,LX,2019
450,426,668,765,634,577,586,703,889,785,585,558,Lexus,NX,2019
12,17,22,52,28,46,28,18,29,25,17,11,Lexus,RC,2019
416,450,769,876,698,773,574,650,912,965,"1,021",723,Lexus,RX,2019
258,228,236,342,309,246,186,209,166,194,153,156,Lexus,UX,2019
0,0,0,0,0,0,0,24,78,89,114,373,Lincoln,Aviator,2019
24,15,4,14,37,17,15,15,9,14,14,9,Lincoln,Continental,2019
147,126,233,186,237,250,209,201,199,82,53,584,Lincoln,MKC,2019
0,0,0,0,0,12,0,0,0,0,0,0,Lincoln,MKS,2019
3,8,5,10,8,0,16,13,11,8,8,1,Lincoln,MKT,2019
214,202,276,273,392,315,316,328,338,241,239,104,Lincoln,MKX/Nautilus,2019
27,40,37,36,40,39,25,32,29,28,27,7,Lincoln,MKZ,2019
84,122,170,184,160,111,177,147,180,121,120,68,Lincoln,Navigator,2019
9,10,10,13,11,13,14,19,9,33,7,3,Maserati,Ghibli,2019
0,1,0,3,5,3,2,3,1,2,0,1,Maserati,GranTurismo,2019
39,22,24,36,37,26,23,29,25,39,19,23,Maserati,Levante,2019
3,7,16,15,10,6,5,1,5,1,1,1,Maserati,Quattroporte,2019
"1,279","1,331","2,349","2,545","2,219","1,823","2,048","1,932","1,669","1,707","1,414",960,Mazda,3,2019
130,78,121,149,146,145,114,134,113,103,121,48,Mazda,6,2019
529,572,906,910,969,966,"1,088","1,333","1,084","1,124",858,511,Mazda,CX-3,2019
"1,565","1,550","2,391","2,285","2,559","2,558","2,752","2,565","2,620","2,713","2,477","1,661",Mazda,CX-5,2019
224,263,418,307,361,455,474,359,305,364,419,473,Mazda,CX-9,2019
